epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,666.66,1.11046,0.0656,0.02524,0.51379,0.94331,0.96659,0.99483,0.9916,0.81418,0.96659,0.99483,0.9916,0.99159,0.8318,0.0149,0.00138,0.32821,1.00759,0.0501149,9.99702e-05,9.99702e-05
2,1330.34,1.03716,0.05391,0.02238,0.46368,0.91823,0.97384,0.9948,0.9929,0.78084,0.97384,0.9948,0.9929,0.9929,0.94907,0.01227,0.0004,0.34029,1.0696,0.000214581,0.000199677,0.000199677
3,1992.03,1.01673,0.05055,0.02286,0.45289,0.91752,0.97849,0.99661,0.99336,0.84394,0.97849,0.99661,0.99336,0.99334,0.73316,0.01524,0.00743,0.31938,0.96684,0.00019883,0.00019883,0.00019883
4,2653.91,1.01997,0.05103,0.02161,0.45398,0.91463,0.98063,0.99365,0.99401,0.84768,0.98063,0.99365,0.99401,0.99399,0.73509,0.01274,0.00766,0.30397,0.96843,0.000197375,0.000197375,0.000197375
5,3314.29,1.00286,0.04992,0.02215,0.4456,0.91273,0.97158,0.99794,0.9917,0.82521,0.97158,0.99794,0.9917,0.99168,0.81765,0.01253,0.00062,0.31858,1.00327,0.00019535,0.00019535,0.00019535
6,3977.63,0.9996,0.04857,0.02167,0.44355,0.90784,0.97738,0.99526,0.99207,0.85713,0.97738,0.99526,0.99207,0.99199,0.67444,0.01335,0.00135,0.30496,0.93784,0.000192769,0.000192769,0.000192769
7,4640.15,0.98472,0.04811,0.02128,0.43733,0.90616,0.97908,0.99507,0.99279,0.85311,0.97908,0.99507,0.99279,0.99277,0.70143,0.0119,0.00036,0.29582,0.94465,0.000189646,0.000189646,0.000189646
8,5301.01,0.98388,0.04761,0.0205,0.43433,0.90491,0.97896,0.99793,0.99362,0.88067,0.97896,0.99793,0.99362,0.99357,0.60797,0.01235,0.00227,0.28377,0.91539,0.000186001,0.000186001,0.000186001
9,5964.56,0.97387,0.04676,0.02144,0.43325,0.90159,0.97756,0.99603,0.99337,0.85852,0.97756,0.99603,0.99337,0.99337,0.69435,0.01187,0.00035,0.29321,0.94505,0.000181857,0.000181857,0.000181857
10,6627.87,0.96787,0.04838,0.02038,0.42798,0.90048,0.97759,0.99507,0.99274,0.87221,0.97759,0.99507,0.99274,0.99272,0.6343,0.01114,0.00175,0.28833,0.93063,0.000177239,0.000177239,0.000177239
11,7291.31,0.96251,0.04633,0.02068,0.42401,0.89903,0.9804,0.99643,0.99396,0.84334,0.9804,0.99643,0.99396,0.99394,0.74958,0.01034,0.00156,0.30152,0.9592,0.000172175,0.000172175,0.000172175
12,7952.97,0.96232,0.04671,0.02075,0.42389,0.90029,0.97606,0.99784,0.99351,0.85338,0.97606,0.99784,0.99351,0.99351,0.72495,0.01067,0.00056,0.29321,0.95889,0.000166698,0.000166698,0.000166698
13,8615.02,0.95128,0.04674,0.02015,0.42374,0.89222,0.96647,0.99815,0.99303,0.87437,0.96647,0.99815,0.99303,0.99303,0.64256,0.00975,0.00406,0.27514,0.92452,0.00016084,0.00016084,0.00016084
14,9277.49,0.9507,0.04569,0.02003,0.4191,0.89273,0.985,0.99023,0.99419,0.86217,0.985,0.99023,0.99419,0.99419,0.69892,0.009,0.0004,0.28178,0.94348,0.000154637,0.000154637,0.000154637
15,9941.69,0.94812,0.04721,0.02005,0.41631,0.89334,0.97977,0.99618,0.99434,0.88942,0.97977,0.99618,0.99434,0.99434,0.59041,0.01019,0.00049,0.26172,0.9004,0.000148129,0.000148129,0.000148129
16,10616.4,0.93224,0.04311,0.02118,0.40905,0.89535,0.98114,0.99561,0.99399,0.88594,0.98114,0.99561,0.99399,0.99399,0.60541,0.00973,0.00038,0.25773,0.91157,0.000141355,0.000141355,0.000141355
17,11293.9,0.93005,0.04214,0.01946,0.40524,0.88903,0.98636,0.99603,0.99463,0.89071,0.98636,0.99603,0.99463,0.99463,0.5873,0.00947,0.00059,0.25858,0.90598,0.000134357,0.000134357,0.000134357
18,11967.1,0.92317,0.04352,0.01852,0.40432,0.89151,0.98692,0.99412,0.99432,0.88496,0.98692,0.99412,0.99432,0.99425,0.61657,0.01074,0.00082,0.26722,0.91975,0.000127177,0.000127177,0.000127177
19,12648,0.91721,0.0435,0.01961,0.4048,0.8862,0.98758,0.99452,0.99431,0.88095,0.98758,0.99452,0.99431,0.99431,0.61156,0.00964,0.0021,0.25855,0.91021,0.000119861,0.000119861,0.000119861
20,13334.4,0.91957,0.0408,0.01891,0.39909,0.88546,0.98767,0.99536,0.99374,0.89084,0.98767,0.99536,0.99374,0.99374,0.59532,0.01001,0.00069,0.25054,0.90618,0.000112454,0.000112454,0.000112454
21,14010.7,0.91068,0.04071,0.01834,0.39644,0.88234,0.98961,0.9987,0.99456,0.87709,0.98961,0.9987,0.99456,0.99456,0.63505,0.00896,0.0007,0.25714,0.92119,0.000105,0.000105,0.000105
22,14693.1,0.90697,0.04047,0.01801,0.39532,0.88181,0.98914,0.99676,0.99459,0.89333,0.98914,0.99676,0.99459,0.99459,0.56993,0.00815,0.00089,0.23806,0.89354,9.75464e-05,9.75464e-05,9.75464e-05
23,15377.8,0.90027,0.03941,0.01912,0.38978,0.88198,0.99173,0.9938,0.99462,0.88694,0.99173,0.9938,0.99462,0.99462,0.59526,0.00865,0.00076,0.24176,0.90629,9.01387e-05,9.01387e-05,9.01387e-05
24,16057,0.89522,0.03885,0.01842,0.39028,0.8824,0.98805,0.99905,0.99421,0.88922,0.98805,0.99905,0.99421,0.99421,0.58791,0.00856,0.00045,0.2466,0.90517,8.28227e-05,8.28227e-05,8.28227e-05
